Keyword,Search Volume (mo),CPC (USD),Competition (0-1),Keyword Difficulty (0-100),Cluster,Priority,90-Day Rankable,Notes
solar installation miami,90,—,0.11,—,RUNNER-UP: Solar,Excluded,—,Industry collapsing post-2024 IRA changes
solar panels miami,480,7.55,0.63,—,RUNNER-UP: Solar,Excluded,—,$7 CPC = no agency margin
solar panels fort lauderdale,170,7.53,0.73,—,RUNNER-UP: Solar,Excluded,—,Same low margin issue
kitchen remodeling miami,480,9.36,0.72,—,RUNNER-UP: Remodel,Excluded,—,CPC too low; designers buy on referrals not SEO
bathroom remodeling miami,390,13.67,0.65,—,RUNNER-UP: Remodel,Excluded,—,Mid CPC; high comp
home remodeling miami,320,8.60,0.58,—,RUNNER-UP: Remodel,Excluded,—,Low CPC
water damage restoration miami,390,32.92,0.36,—,RUNNER-UP: Restoration,Held,—,Highest CPC in study but emergency intent = brand trust > rank
mold remediation miami,1000,23.04,0.71,—,RUNNER-UP: Restoration,Held,—,Strong cluster but comp 0.71
hvac miami,590,12.52,0.47,—,RUNNER-UP: HVAC,Excluded,—,Saturated; low CPC for trade size
ac installation miami,390,22.23,0.25,—,RUNNER-UP: HVAC,Held,—,Good CPC + comp 0.25 - viable alt niche
ac replacement miami,170,—,0.55,—,RUNNER-UP: HVAC,Held,—,Pair with ac installation
foundation repair miami,90,21.17,0.25,—,RUNNER-UP: Foundation,Held,—,Low volume but high ticket; viable secondary
artificial turf miami,210,9.12,0.99,—,RUNNER-UP: Landscaping,Excluded,—,Comp 0.99
pavers miami,320,3.44,0.96,—,RUNNER-UP: Landscaping,Excluded,—,Low CPC
yacht detailing fort lauderdale,110,6.27,0.94,—,RUNNER-UP: Marine,Excluded,—,Niche audience offline-driven
generator installation miami,40,—,0.51,—,RUNNER-UP: Generators,Excluded,—,Too low volume
hurricane shutters miami,70,6.40,0.76,—,RUNNER-UP: Shutters,Excluded,—,Cannibalized by impact windows
painting contractors miami,260,10.61,0.48,—,RUNNER-UP: Paint,Excluded,—,Mid CPC; very competitive
